,neighborhood,borough,coordinates,longitude,latitude
0,Wakefield,Bronx,"[-73.84720052054902, 40.89470517661]",-73.84720052054902,40.89470517661
1,Co-op City,Bronx,"[-73.82993910812398, 40.87429419303012]",-73.82993910812398,40.87429419303012
2,Eastchester,Bronx,"[-73.82780644716412, 40.887555677350775]",-73.82780644716412,40.887555677350775
3,Fieldston,Bronx,"[-73.90564259591682, 40.89543742690383]",-73.90564259591682,40.89543742690383
4,Riverdale,Bronx,"[-73.9125854610857, 40.890834493891305]",-73.9125854610857,40.890834493891305
5,Kingsbridge,Bronx,"[-73.90281798724604, 40.88168737120521]",-73.90281798724604,40.88168737120521
6,Marble Hill,Manhattan,"[-73.91065965862981, 40.87655077879964]",-73.91065965862981,40.87655077879964
7,Woodlawn,Bronx,"[-73.86731496814176, 40.89827261213805]",-73.86731496814176,40.89827261213805
8,Norwood,Bronx,"[-73.8793907395681, 40.87722415599446]",-73.8793907395681,40.87722415599446
9,Williamsbridge,Bronx,"[-73.85744642974207, 40.88103887819211]",-73.85744642974207,40.88103887819211
10,Baychester,Bronx,"[-73.83579759808117, 40.866858107252696]",-73.83579759808117,40.866858107252696
11,Pelham Parkway,Bronx,"[-73.85475564017999, 40.85741349808865]",-73.85475564017999,40.85741349808865
12,City Island,Bronx,"[-73.78648845267413, 40.84724670491813]",-73.78648845267413,40.84724670491813
13,Bedford Park,Bronx,"[-73.8855121841913, 40.870185164975325]",-73.8855121841913,40.870185164975325
14,University Heights,Bronx,"[-73.9104159619131, 40.85572707719664]",-73.9104159619131,40.85572707719664
15,Morris Heights,Bronx,"[-73.91967159119565, 40.84789792606271]",-73.91967159119565,40.84789792606271
16,Fordham,Bronx,"[-73.89642655981623, 40.86099679638654]",-73.89642655981623,40.86099679638654
17,East Tremont,Bronx,"[-73.88735617532338, 40.84269615786053]",-73.88735617532338,40.84269615786053
18,West Farms,Bronx,"[-73.87774474910545, 40.83947505672653]",-73.87774474910545,40.83947505672653
19,High  Bridge,Bronx,"[-73.9261020935813, 40.836623010706056]",-73.9261020935813,40.836623010706056
20,Melrose,Bronx,"[-73.90942160757436, 40.819754370594936]",-73.90942160757436,40.819754370594936
21,Mott Haven,Bronx,"[-73.91609987487575, 40.80623874935177]",-73.91609987487575,40.80623874935177
22,Port Morris,Bronx,"[-73.91322139386135, 40.801663627756206]",-73.91322139386135,40.801663627756206
23,Longwood,Bronx,"[-73.8957882009446, 40.81509904545822]",-73.8957882009446,40.81509904545822
24,Hunts Point,Bronx,"[-73.88331505955291, 40.80972987938709]",-73.88331505955291,40.80972987938709
25,Morrisania,Bronx,"[-73.90150648943059, 40.82359198585534]",-73.90150648943059,40.82359198585534
26,Soundview,Bronx,"[-73.86574609554924, 40.821012197914015]",-73.86574609554924,40.821012197914015
27,Clason Point,Bronx,"[-73.85414416189266, 40.80655112003589]",-73.85414416189266,40.80655112003589
28,Throgs Neck,Bronx,"[-73.81635002158441, 40.81510925804005]",-73.81635002158441,40.81510925804005
29,Country Club,Bronx,"[-73.8240992675385, 40.844245936947374]",-73.8240992675385,40.844245936947374
30,Parkchester,Bronx,"[-73.85600310535783, 40.837937822267286]",-73.85600310535783,40.837937822267286
31,Westchester Square,Bronx,"[-73.84219407604444, 40.8406194964327]",-73.84219407604444,40.8406194964327
32,Van Nest,Bronx,"[-73.8662991807561, 40.84360847124718]",-73.8662991807561,40.84360847124718
33,Morris Park,Bronx,"[-73.85040178030421, 40.847549063536334]",-73.85040178030421,40.847549063536334
34,Belmont,Bronx,"[-73.88845196134804, 40.85727710073895]",-73.88845196134804,40.85727710073895
35,Spuyten Duyvil,Bronx,"[-73.91719048210393, 40.88139497727086]",-73.91719048210393,40.88139497727086
36,North Riverdale,Bronx,"[-73.90453054908927, 40.90854282950666]",-73.90453054908927,40.90854282950666
37,Pelham Bay,Bronx,"[-73.8320737824047, 40.85064140940335]",-73.8320737824047,40.85064140940335
38,Schuylerville,Bronx,"[-73.82620275994073, 40.82657951686922]",-73.82620275994073,40.82657951686922
39,Edgewater Park,Bronx,"[-73.81388514428619, 40.821986118163494]",-73.81388514428619,40.821986118163494
40,Castle Hill,Bronx,"[-73.84802729582735, 40.819014376988314]",-73.84802729582735,40.819014376988314
41,Olinville,Bronx,"[-73.86332361652777, 40.87137078192371]",-73.86332361652777,40.87137078192371
42,Pelham Gardens,Bronx,"[-73.84161194831223, 40.86296562477998]",-73.84161194831223,40.86296562477998
43,Concourse,Bronx,"[-73.91558941773444, 40.83428380733851]",-73.91558941773444,40.83428380733851
44,Unionport,Bronx,"[-73.85053524451935, 40.82977429787161]",-73.85053524451935,40.82977429787161
45,Edenwald,Bronx,"[-73.84808271877168, 40.88456130303732]",-73.84808271877168,40.88456130303732
46,Bay Ridge,Brooklyn,"[-74.03062069353813, 40.625801065010656]",-74.03062069353813,40.625801065010656
47,Bensonhurst,Brooklyn,"[-73.99517998380729, 40.61100890202044]",-73.99517998380729,40.61100890202044
48,Sunset Park,Brooklyn,"[-74.01031618527784, 40.64510294925429]",-74.01031618527784,40.64510294925429
49,Greenpoint,Brooklyn,"[-73.95424093127393, 40.7302009848647]",-73.95424093127393,40.7302009848647
50,Gravesend,Brooklyn,"[-73.97347087708445, 40.59526001306593]",-73.97347087708445,40.59526001306593
51,Brighton Beach,Brooklyn,"[-73.96509448785336, 40.57682506566604]",-73.96509448785336,40.57682506566604
52,Sheepshead Bay,Brooklyn,"[-73.94318640482979, 40.58689012678384]",-73.94318640482979,40.58689012678384
53,Manhattan Terrace,Brooklyn,"[-73.95743840559939, 40.61443251335098]",-73.95743840559939,40.61443251335098
54,Flatbush,Brooklyn,"[-73.95840106533903, 40.63632589026677]",-73.95840106533903,40.63632589026677
55,Crown Heights,Brooklyn,"[-73.94329119073582, 40.67082917695294]",-73.94329119073582,40.67082917695294
56,East Flatbush,Brooklyn,"[-73.93610256185836, 40.64171776668961]",-73.93610256185836,40.64171776668961
57,Kensington,Brooklyn,"[-73.98042110559474, 40.642381958003526]",-73.98042110559474,40.642381958003526
58,Windsor Terrace,Brooklyn,"[-73.98007340430172, 40.65694583575104]",-73.98007340430172,40.65694583575104
59,Prospect Heights,Brooklyn,"[-73.9648592426269, 40.676822262254724]",-73.9648592426269,40.676822262254724
60,Brownsville,Brooklyn,"[-73.91023536176607, 40.66394994339755]",-73.91023536176607,40.66394994339755
61,Williamsburg,Brooklyn,"[-73.95811529220927, 40.70714439344251]",-73.95811529220927,40.70714439344251
62,Bushwick,Brooklyn,"[-73.92525797487045, 40.69811611017901]",-73.92525797487045,40.69811611017901
63,Bedford Stuyvesant,Brooklyn,"[-73.94178488690297, 40.687231607720456]",-73.94178488690297,40.687231607720456
64,Brooklyn Heights,Brooklyn,"[-73.99378225496424, 40.695863722724084]",-73.99378225496424,40.695863722724084
65,Cobble Hill,Brooklyn,"[-73.99856139218463, 40.687919722485574]",-73.99856139218463,40.687919722485574
66,Carroll Gardens,Brooklyn,"[-73.99465372828006, 40.680540231076485]",-73.99465372828006,40.680540231076485
67,Red Hook,Brooklyn,"[-74.0127589747356, 40.676253230250886]",-74.0127589747356,40.676253230250886
68,Gowanus,Brooklyn,"[-73.99444087145339, 40.673931143187154]",-73.99444087145339,40.673931143187154
69,Fort Greene,Brooklyn,"[-73.97290574369092, 40.68852726018977]",-73.97290574369092,40.68852726018977
70,Park Slope,Brooklyn,"[-73.97705030183924, 40.67232052268197]",-73.97705030183924,40.67232052268197
71,Cypress Hills,Brooklyn,"[-73.87661596457296, 40.68239101144211]",-73.87661596457296,40.68239101144211
72,East New York,Brooklyn,"[-73.88069863917366, 40.669925700847045]",-73.88069863917366,40.669925700847045
73,Starrett City,Brooklyn,"[-73.87936970045875, 40.64758905230874]",-73.87936970045875,40.64758905230874
74,Canarsie,Brooklyn,"[-73.90209269778966, 40.63556432797428]",-73.90209269778966,40.63556432797428
75,Flatlands,Brooklyn,"[-73.92911302644674, 40.630446043757466]",-73.92911302644674,40.630446043757466
76,Mill Island,Brooklyn,"[-73.90818571777423, 40.606336421685626]",-73.90818571777423,40.606336421685626
77,Manhattan Beach,Brooklyn,"[-73.94353722891886, 40.57791350308657]",-73.94353722891886,40.57791350308657
78,Coney Island,Brooklyn,"[-73.98868295821637, 40.57429256471601]",-73.98868295821637,40.57429256471601
79,Bath Beach,Brooklyn,"[-73.99875221443519, 40.59951870282238]",-73.99875221443519,40.59951870282238
80,Borough Park,Brooklyn,"[-73.99049823044811, 40.633130512758015]",-73.99049823044811,40.633130512758015
81,Dyker Heights,Brooklyn,"[-74.01931375636022, 40.619219457722636]",-74.01931375636022,40.619219457722636
82,Gerritsen Beach,Brooklyn,"[-73.93010170691196, 40.590848433902046]",-73.93010170691196,40.590848433902046
83,Marine Park,Brooklyn,"[-73.93134404108497, 40.609747779894604]",-73.93134404108497,40.609747779894604
84,Clinton Hill,Brooklyn,"[-73.96784306216367, 40.693229421881504]",-73.96784306216367,40.693229421881504
85,Sea Gate,Brooklyn,"[-74.0078731120024, 40.57637537890224]",-74.0078731120024,40.57637537890224
86,Downtown,Brooklyn,"[-73.98346337431099, 40.69084402109802]",-73.98346337431099,40.69084402109802
87,Boerum Hill,Brooklyn,"[-73.98374824115798, 40.685682912091444]",-73.98374824115798,40.685682912091444
88,Prospect Lefferts Gardens,Brooklyn,"[-73.95489867077713, 40.658420017469815]",-73.95489867077713,40.658420017469815
89,Ocean Hill,Brooklyn,"[-73.91306831787395, 40.678402554795355]",-73.91306831787395,40.678402554795355
90,City Line,Brooklyn,"[-73.86797598081334, 40.67856995727479]",-73.86797598081334,40.67856995727479
91,Bergen Beach,Brooklyn,"[-73.89855633630317, 40.61514955045308]",-73.89855633630317,40.61514955045308
92,Midwood,Brooklyn,"[-73.95759523489838, 40.62559589869843]",-73.95759523489838,40.62559589869843
93,Prospect Park South,Brooklyn,"[-73.96261316716048, 40.647008603185185]",-73.96261316716048,40.647008603185185
94,Georgetown,Brooklyn,"[-73.91607483951324, 40.62384524478419]",-73.91607483951324,40.62384524478419
95,East Williamsburg,Brooklyn,"[-73.93885815269195, 40.70849241041548]",-73.93885815269195,40.70849241041548
96,North Side,Brooklyn,"[-73.95880857587582, 40.714822906532014]",-73.95880857587582,40.714822906532014
97,South Side,Brooklyn,"[-73.95800095153331, 40.71086147265064]",-73.95800095153331,40.71086147265064
98,Ocean Parkway,Brooklyn,"[-73.96836678035541, 40.61305976667942]",-73.96836678035541,40.61305976667942
99,Fort Hamilton,Brooklyn,"[-74.03197914537984, 40.61476812694226]",-74.03197914537984,40.61476812694226
100,Chinatown,Manhattan,"[-73.99427936255978, 40.71561842231432]",-73.99427936255978,40.71561842231432
101,Washington Heights,Manhattan,"[-73.93690027985234, 40.85190252555305]",-73.93690027985234,40.85190252555305
102,Inwood,Manhattan,"[-73.92121042203897, 40.86768396449915]",-73.92121042203897,40.86768396449915
103,Hamilton Heights,Manhattan,"[-73.94968791883366, 40.823604284811935]",-73.94968791883366,40.823604284811935
104,Manhattanville,Manhattan,"[-73.9573853935188, 40.8169344294978]",-73.9573853935188,40.8169344294978
105,Central Harlem,Manhattan,"[-73.94321112603905, 40.81597606742414]",-73.94321112603905,40.81597606742414
106,East Harlem,Manhattan,"[-73.94418223148524, 40.79224946663033]",-73.94418223148524,40.79224946663033
107,Upper East Side,Manhattan,"[-73.96050763135, 40.775638573301805]",-73.96050763135,40.775638573301805
108,Yorkville,Manhattan,"[-73.94711784471826, 40.775929849884875]",-73.94711784471826,40.775929849884875
109,Lenox Hill,Manhattan,"[-73.9588596881376, 40.76811265828733]",-73.9588596881376,40.76811265828733
110,Roosevelt Island,Manhattan,"[-73.94916769227953, 40.76215960576283]",-73.94916769227953,40.76215960576283
111,Upper West Side,Manhattan,"[-73.97705923630603, 40.787657998534854]",-73.97705923630603,40.787657998534854
112,Lincoln Square,Manhattan,"[-73.98533777001262, 40.77352888942166]",-73.98533777001262,40.77352888942166
113,Clinton,Manhattan,"[-73.99611936309479, 40.75910089146212]",-73.99611936309479,40.75910089146212
114,Midtown,Manhattan,"[-73.98166882730304, 40.75469110270623]",-73.98166882730304,40.75469110270623
115,Murray Hill,Manhattan,"[-73.97833207924127, 40.748303077252174]",-73.97833207924127,40.748303077252174
116,Chelsea,Manhattan,"[-74.00311633472813, 40.744034706747975]",-74.00311633472813,40.744034706747975
117,Greenwich Village,Manhattan,"[-73.99991402945902, 40.72693288536128]",-73.99991402945902,40.72693288536128
118,East Village,Manhattan,"[-73.98222616506416, 40.727846777270244]",-73.98222616506416,40.727846777270244
119,Lower East Side,Manhattan,"[-73.98089031999291, 40.71780674892765]",-73.98089031999291,40.71780674892765
120,Tribeca,Manhattan,"[-74.01068328559087, 40.721521967443216]",-74.01068328559087,40.721521967443216
121,Little Italy,Manhattan,"[-73.99730467208073, 40.71932379395907]",-73.99730467208073,40.71932379395907
122,Soho,Manhattan,"[-74.00065666959759, 40.72218384131794]",-74.00065666959759,40.72218384131794
123,West Village,Manhattan,"[-74.00617998126812, 40.73443393572434]",-74.00617998126812,40.73443393572434
124,Manhattan Valley,Manhattan,"[-73.96428617740655, 40.797307041702865]",-73.96428617740655,40.797307041702865
125,Morningside Heights,Manhattan,"[-73.96389627905332, 40.807999738165826]",-73.96389627905332,40.807999738165826
126,Gramercy,Manhattan,"[-73.98137594833541, 40.737209832715]",-73.98137594833541,40.737209832715
127,Battery Park City,Manhattan,"[-74.01686930508617, 40.71193198394565]",-74.01686930508617,40.71193198394565
128,Financial District,Manhattan,"[-74.0106654452127, 40.70710710727048]",-74.0106654452127,40.70710710727048
129,Astoria,Queens,"[-73.91565374304234, 40.76850859335492]",-73.91565374304234,40.76850859335492
130,Woodside,Queens,"[-73.90184166838284, 40.74634908860222]",-73.90184166838284,40.74634908860222
131,Jackson Heights,Queens,"[-73.88282109164365, 40.75198138007367]",-73.88282109164365,40.75198138007367
132,Elmhurst,Queens,"[-73.88165622288388, 40.744048505122024]",-73.88165622288388,40.744048505122024
133,Howard Beach,Queens,"[-73.8381376460028, 40.65422527738487]",-73.8381376460028,40.65422527738487
134,Corona,Queens,"[-73.85682497345258, 40.74238175015667]",-73.85682497345258,40.74238175015667
135,Forest Hills,Queens,"[-73.84447500788983, 40.72526378216503]",-73.84447500788983,40.72526378216503
136,Kew Gardens,Queens,"[-73.82981905825703, 40.7051790354148]",-73.82981905825703,40.7051790354148
137,Richmond Hill,Queens,"[-73.83183321446887, 40.69794731471763]",-73.83183321446887,40.69794731471763
138,Flushing,Queens,"[-73.83177300329582, 40.76445419697846]",-73.83177300329582,40.76445419697846
139,Long Island City,Queens,"[-73.93920223915505, 40.75021734610528]",-73.93920223915505,40.75021734610528
140,Sunnyside,Queens,"[-73.92691617561577, 40.74017628351924]",-73.92691617561577,40.74017628351924
141,East Elmhurst,Queens,"[-73.86704147658772, 40.76407323883091]",-73.86704147658772,40.76407323883091
142,Maspeth,Queens,"[-73.89621713626859, 40.725427374093606]",-73.89621713626859,40.725427374093606
143,Ridgewood,Queens,"[-73.90143517559589, 40.70832315613858]",-73.90143517559589,40.70832315613858
144,Glendale,Queens,"[-73.87074167435605, 40.70276242967838]",-73.87074167435605,40.70276242967838
145,Rego Park,Queens,"[-73.8578268690537, 40.72897409480735]",-73.8578268690537,40.72897409480735
146,Woodhaven,Queens,"[-73.8581104655432, 40.68988687915789]",-73.8581104655432,40.68988687915789
147,Ozone Park,Queens,"[-73.84320266173447, 40.680708468265415]",-73.84320266173447,40.680708468265415
148,South Ozone Park,Queens,"[-73.80986478649041, 40.66854957767195]",-73.80986478649041,40.66854957767195
149,College Point,Queens,"[-73.84304528896125, 40.784902749260205]",-73.84304528896125,40.784902749260205
150,Whitestone,Queens,"[-73.81420216610863, 40.78129076602694]",-73.81420216610863,40.78129076602694
151,Bayside,Queens,"[-73.7742736306867, 40.76604063281064]",-73.7742736306867,40.76604063281064
152,Auburndale,Queens,"[-73.79176243728061, 40.76172954903262]",-73.79176243728061,40.76172954903262
153,Little Neck,Queens,"[-73.7388977558074, 40.7708261928267]",-73.7388977558074,40.7708261928267
